Key,Value
XXXOOXXOO,0.1
XX-OOXXOO,0.010000000000000002
XX-OOXXO-,0.0010000000000000002
XX-OO-XO-,0.39004500000000003
XX-OO-X--,0.10866304878048781
-X-OO-X--,0.08704520149253732
-X--O-X--,0.10314978737113405
-X--O----,0.13748993743589746
-X-------,0.16674102822207346
XX-OOOXXO,0
XX-O-OXXO,0
X--O-OXXO,2.753623188405798e-05
X----OXXO,0.08284409090909091
-----OXXO,0.1366877109375
-----OXX-,0.3300541409793815
-----O-X-,0.22818857490620495
-------X-,0.16882240912741897
O-XO-X--X,1
O-XO----X,0.5296536614173228
O-X-----X,0.35739512285012287
O-------X,0.22261081265703977
--------X,0.22171823894106166
OXX-XOXO-,1
OXX--OXO-,0.2864318181818182
-XX--OXO-,0.384754625
-XX--O-O-,0.3797147482993198
-XX----O-,0.32328412398989903
--X----O-,0.313923294352597
--X------,0.22679424725391056
XX-OXOOX-,1
X--OXOOX-,0.6111432098765432
X---XOOX-,0.4332597674418605
----XOOX-,0.3922786315789474
----XO-X-,0.340138515443038
XXOOOO-XX,0
XXOOO--XX,0
XXOOO--X-,2.5757575757575765e-05
XXOO---X-,0.27871247311827957
-XOO---X-,0.42027293939393945
-XO----X-,0.26133367682926834
-XO------,0.14789312175228717
XOXOOOX-X,0
XOX-OOX-X,0
XO--OOX-X,0.6241935483870968
X---OOX-X,0.3681827272727273
X---OOX--,0.45489711029411767
X---O-X--,0.3146797701298702
----O-X--,0.19616873031455748
------X--,0.22361852597568038
XOXOOO-XX,0
XOXOO--XX,0.0004838709677419356
XOXOO--X-,6.792452830188681e-05
X-XOO--X-,0.17609072463768116
--XOO--X-,0.1771404112149533
--XO---X-,0.19470302743142148
---O---X-,0.22804445806993012
XXXOOXOOX,0.1
XX-OOXOOX,0.010000000000000002
XX-OOX-OX,0.0010000000000000002
-X-OOX-OX,0.30006666666666665
-X--OX-OX,0.19672057142857144
-X--O--OX,0.13885778571428573
-X-----OX,0.1312200681927711
-X-----O-,0.15785381765972226
--XOOX--X,1
--XOOX---,0.4222361320754717
--X-OX---,0.29278127421875005
--X-O----,0.2084156990166415
XOX-OXXOO,0
XOX-OXX-O,0.00047945205479452065
XOX-O-X-O,0.16672777777777778
XOX---X-O,0.4263193421052632
-OX---X-O,0.3815765364238411
-OX---X--,0.3811970736363637
-O----X--,0.3168154496363637
OXXOXXXOO,0.1
OXXO-XXOO,0.010000000000000002
-XXO-XXOO,0.0010000000000000002
-XXO-X-OO,0.29082
-XXO-X--O,0.22304666666666667
--XO-X--O,0.15536116393442626
--X--X--O,0.10729789195710458
-----X--O,0.15138078314712827
-----X---,0.1667741240807597
XOOXXXOXO,0.1
XOOX-XOXO,0.010000000000000002
X-OX-XOXO,0.0005625000000000002
X-OX-XO-O,0.26668148148148146
X--X-XO-O,0.12623714285714285
X--X--O-O,0.11104006622516557
X--X--O--,0.11716074955357145
X-----O--,0.22138812939783498
X--------,0.21686150205634186
O-XOXXX-O,1
O--OXXX-O,0.3814135593220339
---OXXX-O,0.2853473863636364
---O-XX-O,0.11424703731343284
---O-XX--,0.13901867648578814
---O--X--,0.2508530112957747
X-O-OXOX-,0
X-O--XOX-,4.588235294117649e-06
--O--XOX-,0.1837319024390244
-----XOX-,0.1196107557640751
-----XO--,0.22354903181339358
OOOXX-XXO,0
O-OXX-XXO,0
O-OX--XXO,0
--OX--XXO,0.16200042857142857
--OX---XO,0.18349002040816328
--OX---X-,0.15465216642857146
--O----X-,0.22513766407840446
OOXOXXXXO,0.1
OOXOXX-XO,0.010000000000000002
O-XOXX-XO,0.0004444444444444446
O-XOX--XO,0.5917986301369863
O-X-X--XO,0.3960041111111111
O---X--XO,0.46504606106870233
O---X--X-,0.32650002246913584
O---X----,0.2799964879694324
----X----,0.26936497082785554
OXOO-XOXX,0
OXO--XOXX,0
O-O--XOXX,0
O-O--X-XX,0.11571469387755103
O-O----XX,0.38556698089171976
O------XX,0.2910407385714286
OXO-XX-XO,1
OXO--X-XO,0.3797203125
OXO--X-X-,0.22381881578947369
O-O--X-X-,0.14238304687500003
O----X-X-,0.13990369656862747
O------X-,0.20609584420000004
--X--XOOX,1
--X--XOO-,0.4307230472972973
--X--XO--,0.296166605867347
--X---O--,0.22998774598649668
XXOXOOXOX,0.1
-XOXOOXOX,0.010000000000000002
-XOXOOX-X,0.0010000000000000002
-XO-OOX-X,0.27278636363636366
-XO-O-X-X,0.18693012820512822
-XO-O---X,0.06895990540540542
-X--O---X,0.11758679974025976
----O---X,0.19901807836283192
O-OOX-XXX,1
O-OOX-XX-,0.6532370967741936
O-O-X-XX-,0.40965563218390805
O-O-X--X-,0.4342662517985612
--O-X--X-,0.38440576950000005
--O-X----,0.29917079537790703
OOXXXXOXO,0.1
OOXXX-OXO,0.010000000000000002
OOXXX-OX-,0.0010000000000000002
OO-XX-OX-,0.3176980392156863
-O-XX-OX-,0.2700061904761905
-O--X-OX-,0.1510077928571429
-O--X--X-,0.12279951657754012
-O--X----,0.3124008732135155
XOOOXXXXO,0.1
XOOOXX-XO,0.010000000000000002
XOOOXX-X-,0.0010000000000000002
XOOOXX---,0.19419607843137254
XO-OXX---,0.15780025974025974
XO-O-X---,0.11065258035714287
XO---X---,0.12474005481481484
XO-------,0.23426082065003787
-OOXXXOX-,1
-OO-XXOX-,0.3429035714285714
-OO-XX-X-,0.18542590361445785
-OO-X--X-,0.17794523622047245
O-OXXOXXO,0
O-OXXOXX-,0
O-O-XOXX-,0.5796610169491525
--O-XOXX-,0.3787022077922078
--O-XO-X-,0.4447318536585366
X-OXO-OX-,0
X-OX--OX-,4.935064935064937e-06
--OX--OX-,0.16072470866141733
--OX-----,0.2027441435352113
---X-----,0.16425477676795983
OXXOOXXOX,0.1
OXXOO-XOX,0.010000000000000002
OXX-O-XOX,0.0010000000000000002
OX--O-XOX,0.00010000000000000003
OX----XOX,1.0000000000000004e-05
OX----XO-,0.04703308870967743
-X----XO-,0.13226425702917774
------XO-,0.251655980525148
-OXXOXO-X,1
-OXXOXO--,0.24329864864864864
--XXOXO--,0.25258397849462366
--XXO-O--,0.17220525196850395
--XX--O--,0.12652071900826448
---X--O--,0.15163096590455843
XOOOXXXOX,0.1
XOOO-XXOX,0.010000000000000002
XOOO-XX-X,0.0010000000000000002
XOOO--X-X,0.5951951612903226
XOO---X-X,0.5815400000000001
XOO---X--,0.48957380882352947
X-O---X--,0.30210867218225423
X-O------,0.21471793907526887
XOXOXXOXO,0.1
-OXOXXOXO,0.010000000000000002
-OXOXX-XO,0.0010000000000000002
-OXO-X-XO,0.00010000000000000003
--XO-X-XO,6.9767441860465144e-06
--XO-X---,0.32230519809782615
--XO-----,0.308520729985305
XOXOOXXXO,0.1
XOXOOX-XO,0.010000000000000002
XOXO-X-XO,0.0010000000000000002
--XO---XO,0.23413186861313873
--X----XO,0.14754407464114835
-------XO,0.15959108646575346
-XXOXXOOO,0
-XXOXXOO-,0
-X-OXXOO-,2.0000000000000005e-05
-X-OXX-O-,7.31182795698925e-06
-X-O-X-O-,0.15347434210526317
-X-O-X---,0.1099051263959391
---O-X---,0.1611369803686983
XXOOXO-X-,1
XXOOXO---,0.5877714285714286
XX-OXO---,0.5908255294117647
X--OXO---,0.5076690828025479
X---XO---,0.39486995137844616
X----O---,0.30073772297887846
XXOOOXXXO,0.1
XXOOO-XXO,0.010000000000000002
XX-OO-XXO,0.0005230769230769232
X--OO-XXO,8.222222222222225e-05
X---O-XXO,0.2623988732394366
X---O-X-O,0.36521091729323313
X---O----,0.19741135124206075
XXOOXOXOX,0.1
XXOO-OXOX,0.010000000000000002
XXOO--XOX,0.0010000000000000002
-XOO--XOX,0.00010000000000000003
-XOO--X-X,0.14562516853932586
--OO--X-X,0.35760803797468355
--O---X-X,0.35145003405797104
--O-----X,0.2222182857396047
OXO-OXXXO,0
OXO-OXXX-,0.0005200000000000002
OXO-OXX--,6.833333333333336e-05
OX--OXX--,4.230769230769233e-06
OX--O-X--,0.06075043333333334
XOX-X-XOO,1
XOX-X--OO,0.25004444444444446
XOX-X--O-,0.46774915492957747
XOX----O-,0.2090142167832168
X-X----O-,0.381190924941725
OXX-OOXXO,0
OXX-OOXX-,0
OXX-OOX--,4.074074074074075e-05
OXX--OX--,0.15805341463414635
O-X--OX--,0.4123459044117647
O-X---X--,0.3354571359036145
O-X------,0.2357278973637703
XXX-OOO-X,1
X-X-OOO-X,0.34505
X-X-OO--X,0.16728456521739132
X---OO--X,0.19184229323308274
X---O---X,0.13355727913486007
OXXOOX-XO,0
OXXOOX-X-,0
OXXOO--X-,0
OXXO---X-,0.13642178947368422
OXXO-----,0.1435910984848485
-XXO-----,0.3675296270129871
-X-O-----,0.23057785750722548
OOXXXOXXO,0.1
OOXX-OXXO,0.010000000000000002
-OXX-OXXO,0.0010000000000000002
-OX--OXXO,0.3360626666666667
-OX---XXO,0.2102948076923077
OXOOXOXXX,0.1
OXOOXOX-X,0.010000000000000002
OXOOX-X-X,0.0010000000000000002
O-OOX-X-X,0.26255208333333335
O-O-X-X-X,0.12913507246376812
O-O---X-X,0.2530155112781955
--O---X--,0.2249815890489914
X-OXOXOOX,0
X-OXOX-OX,0
X-O-OX-OX,3.10344827586207e-05
X---OX-OX,0.13500226190476192
X---O--OX,0.1296002814814815
X------OX,0.3550301735294118
X------O-,0.3050375006685838
XOXXOXOXO,0.1
XOX-OXOXO,0.010000000000000002
XOX-OX-XO,0.0010000000000000002
XOX-O--XO,0.00010000000000000003
XOX----XO,1.0000000000000004e-05
-OX----XO,0.08430690476190478
OXOXXXOOX,0.1
OXO-XXOOX,0.010000000000000002
OXO-XXO-X,0.0005714285714285716
OXO-XXO--,0.6049393442622951
OXO-XX---,0.3716517647058824
OXO--X---,0.10267663380281691
OX---X---,0.1340252116389549
OX-------,0.14301795456537106
XX-OOO--X,0
XX-O-O--X,0.3024021333333334
XX-O-O---,0.3893163529411765
XX-O-----,0.3317831611246944
X--O-----,0.24297420830148625
XOOOXXXO-,0.010000000000000002
XOO-XXXO-,0.0010000000000000002
XOO--XXO-,0.25005925925925926
XO---XXO-,0.09720426666666668
XO---X-O-,0.20059757046979868
X----X-O-,0.19136253357843142
-----X-O-,0.23813651448671938
--XO-X-OX,1
--XO---OX,0.5683035862068966
--X----OX,0.3685169245231608
XOX-O-XO-,0
XOX-O-X--,0.1744632307692308
XO--O-X--,0.3755038759124088
X-OOOXOXX,0
X--OOXOXX,0.0003846153846153847
X--OO-OXX,2.80701754385965e-05
X---O-OXX,3.823529411764707e-06
----O-OXX,0.06888216535433071
------OXX,0.11093481642512079
------O-X,0.21396643977904495
XOX-X-OOX,1
XOX---OOX,0.5741620689655172
X-X---OOX,0.6138964210526316
--X---OOX,0.4607310923076923
-------OX,0.23624710749642353
XXOOOXO-X,0
XXOOOX--X,0.00042696629213483155
XXOOO---X,3.620689655172415e-05
XXOO----X,0.19552172413793104
-XOO----X,0.22075395070422538
-XO-----X,0.1297456728089888
OXOXX--XO,1
OXOX---XO,0.3535875
-XOX---XO,0.1577935064935065
-XO----XO,0.2852847155172414
O-X-OXXOX,1
O-X-O-XOX,0.27863095238095237
--X-O-XOX,0.10125236111111112
----O-XOX,0.0643239117647059
------XOX,0.1648662053846154
-XXOOXXOO,0.010000000000000002
-XXOOXX-O,0.0006363636363636365
-XXOO-X-O,0.335844776119403
-XXOO-X--,0.16372627659574468
-X-O--X--,0.16117598635235736
-XOXO-XOX,0.0010000000000000002
--OXO-XOX,0.270055
--OX--XOX,0.2250048888888889
--O---XOX,0.16904408695652176
OXXXXOXOO,0.1
OXXX-OXOO,0.010000000000000002
-XXX-OXOO,0.0010000000000000002
--XX-OXOO,0.5564018181818182
--XX--XOO,0.38962367088607597
---X--XOO,0.4580252
---X--X-O,0.3125032424317618
------X-O,0.22559637494600437
OXO-OXOXX,0
OXO--XO-X,2.222222222222223e-05
OXO--X--X,6.867469879518075e-06
O-O--X--X,0.11030953947368423
O----X--X,0.29854855367647065
O----X---,0.21329261294736848
OX-XXOXOO,0.010000000000000002
-X-XXOXOO,0.0005357142857142858
-X-X-OXOO,0.3125527777777778
-X-X-OXO-,0.24777058823529413
-X-X-O-O-,0.12420064444444447
-X-X-O---,0.10963556370757183
---X-O---,0.1458689290254546
XXX--OOOX,1
X-X--OOOX,0.5261953846153846
X-X--OO-X,0.3341305
X----OO-X,0.3470587664233577
X----O--X,0.3388204649635037
-----O--X,0.24806395690100436
XOXOXOOXX,0.1
XOXO-OOXX,0.010000000000000002
XOXO-O-XX,0.00047191011235955067
XOXO-O--X,0.3600342857142857
XOXO----X,0.37674674418604653
-OXO----X,0.5304215571428572
--XO----X,0.420283432631579
OOX--OXXX,1
OOX--OXX-,0.6625263888888889
O-X--OXX-,0.4303145833333334
O-X--O-X-,0.25787800000000005
--X--O-X-,0.162791779197995
-O--OXXOX,0
----OXXOX,0.13206945652173913
----O-X-X,0.3470569571782179
XOOXO-OXX,0
XOOX--OXX,0.0004942528735632185
-OOX--OXX,3.750000000000001e-05
-OOX---XX,0.16568443181818182
-OO----XX,0.3408673846153846
-O-----XX,0.3237044133819952
-O------X,0.30818739378881993
OXOX-XOOX,0.010000000000000002
OXOX-XO-X,0.0004938271604938273
OX---XO-X,0.1620018888888889
O----XO-X,0.3399924538461539
-----XO-X,0.30607929559585495
OX-OXX-XO,1
OX-O-X-XO,0.22076792452830188
OX---X-XO,0.21000123456790123
OX---X--O,0.1894254251968504
XO-O-XXOX,0.0005063291139240508
XO-O--XOX,0.287263829787234
XO----XOX,0.2667098780487805
XO-----OX,0.4304287619047619
OXOX-X-OX,0.0010000000000000002
O-OX-X-OX,0.25719285714285717
O--X-X-OX,0.42827850574712645
O--X---OX,0.18349041496598642
O--X----X,0.11989650532994926
XXOOXXXOO,0.1
X-OOXXXOO,0.010000000000000002
X-OOXXXO-,0.0010000000000000002
X-OO-XXO-,0.00010000000000000003
X-O--XXO-,0.192381875
X-O--X-O-,0.22386659055118113
X-OX-XOOX,0.0005308641975308643
--OX-XOOX,0.24548727272727272
--OX-X-OX,0.1667675
--O--X-OX,0.14966276821192054
