Key,Value
OOO-X-XX-,0
OO--X-XX-,0.36548914634146346
OO--X--X-,0.1477706148648649
O---X--X-,0.35120874812967584
O---X----,0.2847093073501111
----X----,0.26835352936754053
OXXXXOOXO,0.1
OXXXXOO-O,0.010000000000000002
OXXXXO--O,0.0010000000000000002
OXX-XO--O,0.6242241935483871
OXX-X---O,0.40500276595744683
O-X-X---O,0.4338002740740741
O-X-X----,0.3425043413793104
O-X------,0.2230125396890118
--X------,0.22338952479472735
--XOXOXXO,1
--XO-OXXO,0.22135573770491804
--XO--XXO,0.21516078125000002
--XO--X-O,0.3993950789473685
--XO--X--,0.35222791482412064
--XO-----,0.310010615092251
XXOOXXXOO,0.1
X-OOXXXOO,0.010000000000000002
X--OXXXOO,0.0010000000000000002
X--O-XXOO,0.00010000000000000003
X--O-XX-O,1.0000000000000004e-05
---O-XX-O,0.0758168
-----XX-O,0.14326754764267993
------X-O,0.2210983765292842
------X--,0.21923809505858158
XOOXXX--O,1
XOOXX---O,0.6428730158730159
XO-XX---O,0.4159490540540541
XO-X----O,0.41175036111111113
XO-X-----,0.34369823239074554
-O-X-----,0.22606321718794842
---X-----,0.17027461087865173
OXX-OXOXO,0
OXX--XOXO,0
OXX---OXO,0.30424084507042254
OXX----XO,0.19551885057471266
OXX-----O,0.16524029333333334
-XX-----O,0.3053992427835052
-X------O,0.21418886388967473
-X-------,0.17240086992234752
-OOO-XXXX,1
-OOO-XX-X,0.2727878787878788
-OO--XX-X,0.17357397959183674
-OO--X--X,0.19980020000000004
--O--X--X,0.12020155928753183
--O-----X,0.23347170912579962
--------X,0.21936143449467033
O-X-XXOOX,1
O---XXOOX,0.6428767857142857
O---XXO-X,0.2945466233766234
O----XO-X,0.36472512500000004
-----XO-X,0.34592830645161293
-----XO--,0.2079847635620236
-----X---,0.16537902629551599
X--XOOX--,1
X---OOX--,0.4339870584415585
X----OX--,0.39730400598503746
-----OX--,0.293274589536232
OXXXOOOXX,0.1
OXXXOOO-X,0.010000000000000002
OXXXO-O-X,0.0010000000000000002
O-XXO-O-X,0.29394489795918366
O-XXO---X,0.1643549275362319
O-XXO----,0.05027631724137931
--XXO----,0.09372861970443351
---XO----,0.13193212347322725
--O-O-XXX,1
--O-O--XX,0.3559427377049181
----O--XX,0.2589039446475196
----O--X-,0.1374576123759399
-------X-,0.17301769136493453
X-OXOOX-X,1
X-OXOO--X,0.3393737704918033
X-OXO---X,0.21315907894736844
X-OXO----,0.32665126356589147
X--XO----,0.27369362533333336
OXX-X-OXO,1
OXX---OX-,0.2025026388888889
OXX---O--,0.14899295620437958
-XX---O--,0.3051201713930349
--X---O--,0.21567519794029857
X-XOOXO-X,1
X-XOOXO--,0.6052051724137931
X-X-OXO--,0.527729393939394
--X-OXO--,0.3947541230769231
--X-OX---,0.28462384476439795
--X-O----,0.20007963175334328
O-X--XO-X,1
O----X--X,0.2741829274611399
O-------X,0.20736645603186102
-XXOOOOXX,0
-XXO-OOXX,0
--XO-OOXX,2.692307692307693e-05
--XO-O-XX,0.10519662337662339
--XO-O-X-,0.23929026717557256
--X--O-X-,0.16268424059945508
--X--O---,0.26037277206301584
X-XOOO-X-,0
X-X-OO-X-,0.118804
X-X-OO---,0.34192883333333335
X-X-O----,0.28816920451127825
X---O----,0.19645466598259614
X--------,0.21894632851576867
XXOXOXOO-,0
XXOX-XOO-,0
XXO--XOO-,2.6865671641791053e-05
XXO--XO--,2.5714285714285725e-06
XXO---O--,0.13668766666666668
XXO------,0.09329164568764571
-XO------,0.14334699624908961
XOXOXOOXX,0.1
XOXOXOOX-,0.010000000000000002
XOX-XOOX-,0.0010000000000000002
XOX-XOO--,0.28215820895522387
XOX-XO---,0.3953622619047619
XO--XO---,0.46786987681159425
XO--X----,0.3630785908077995
-O--X----,0.3021202720777386
X-OXOXO--,0
X-OX-XO--,0.20964823529411766
X-O--XO--,0.1469305581395349
X----XO--,0.1652521563591023
X-----O--,0.2331608503417534
XOOOXX--X,1
XOOOXX---,0.33094558823529413
XO-OXX---,0.2700066666666667
XO-O-X---,0.17120524242424245
X--O-X---,0.13591848056265987
X--O-----,0.2501890442120345
XOXOX-XO-,1
XO-OX-XO-,0.5773943396226415
XO-OX-X--,0.3836894736842105
XO-O--X--,0.24300047008547013
X--O--X--,0.1636200479012346
O--XOXX-O,0
---XOXX-O,0.2354675581395349
----OXX-O,0.0911254411764706
----OXX--,0.1429758290556901
----O-X--,0.2043412168344828
X-OOXO-XX,1
X-OO-O-XX,0.6672586206896551
X-O--O-XX,0.4006476344086022
X-O--O--X,0.4546118099173554
X----O--X,0.34646963766233774
X----O---,0.3056451530300808
-O-O--XXX,1
-O-O--XX-,0.3765353643410853
-O----XX-,0.3378888325333334
-O----X--,0.30161659790863676
OXXX-OOXO,0.010000000000000002
OXXX--OXO,0.0005277777777777779
OX-X--OXO,0.3818469696969697
OX-X--OX-,0.20483103448275863
O--X--OX-,0.13355780916030535
---X--OX-,0.08113069758064517
------OX-,0.15628533072568945
O-XO-XOX-,0
O-XO-X-X-,0.1303477011494253
O--O-X-X-,0.1997262876712329
O----X-X-,0.13179303908296947
O----X---,0.2050699743271955
X-O-XXOOX,1
X-O-XXOO-,0.5869739130434782
X-O-XXO--,0.43031671875000005
X-O--X---,0.1538563824797844
X-O------,0.21303224257083628
O-OOXXOXX,0
--OOXXOXX,0.0005211267605633804
--OOXXOX-,0.3429111111111111
--O-XXOX-,0.4297992857142857
--O-X-OX-,0.479688577922078
--O-X--X-,0.3502071098734178
--O----X-,0.22014265511578954
O-X-OXOXX,1
O-X-O-OXX,0.2618672727272727
O-X-O--XX,0.39895865671641795
O-X-O--X-,0.1598686666666667
O-X----X-,0.14423649705093836
OXXOXOXOX,0.1
OXXOXO-OX,0.010000000000000002
OXXOX--OX,0.0004936708860759495
OX-OX--OX,6.315789473684213e-05
OX-OX---X,0.106075
OX-OX----,0.33051094326241137
-X-OX----,0.37696832439024397
-X-O-----,0.2507760032727273
X-XOXOX-O,1
X-XO-OX-O,0.6428714285714285
X-XO-OX--,0.3692664705882353
X-XO-O---,0.5222031503759399
X-X--O---,0.4053484145161291
XXXOXOXOO,0.1
XX-OXOXOO,0.010000000000000002
XX-OXOX-O,0.0005405405405405407
X--OXOX-O,0.29511967213114754
X--OXOX--,0.4391603614457832
X--O-OX--,0.2499431285714286
OOOXX-OXX,0
OO-XX-OXX,0.0005595238095238097
OO--X-OXX,4.067796610169493e-05
-O--X-OXX,0.16759080459770115
-O--X-O-X,0.37747091503267977
----X-O-X,0.32291872451456316
------O-X,0.2161001835806917
XX-XOOX-O,1
XX--OOX-O,0.560377358490566
XX--O-X-O,0.3842342307692308
X---O-X-O,0.386859765625
X---O-X--,0.32945388902743145
OXXXOXOOX,0.1
OXXXOXOO-,0.010000000000000002
